topic_id,top_words
0,"prix, frais, trouve, marque, produits, autres, moins, marques, port, acheter, sites, ventes, cher, ailleurs, parfois, souvent, affichés, 50, pense, disant"
1,"falloir, gain, obligation, courage, réceptionnés, suit, commencent, revenu, penser, plaindre, premiere, chargé, trouvent, manifestement, lecture, écrans, buffet, cinq, compensation, sérieusement"
2,"tenté, aimé, pensent, obligation, bye, réponde, croix, apercevoir, apparaît, venant, requête, impose, osent, feront, surement, envoyant, revenu, trouvent, oblige, falloir"
3,"commandé, déçue, article, déception, bonjour, reçu, déçu, première, commandés, étiquette, articles, renvoyer, comment, erreur, retourner, modèle, moment, cadeau, mauvais, celle"
4,"rapide, rapidement, tôt, avance, bonne, emballé, satisfaite, super, rapidité, excellent, prévue, très, emballés, rapport, présentation, prévu, recommande, qualité, produit, date"
5,"long, longue, délai, délais, delai, peu, longs, crise, respecté, sanitaire, marchandise, respectés, trop, longues, livraison, sinon, marchandises, tardive, delais, correct"
6,"commanderai, retourner, article, erreur, renvoyer, totalité, lamentable, première, absolument, erreurs, commandés, comment, pire, retours, incomplète, défectueux, renvoie, charge, nul, recevoir"
7,"réponse, service, veepee, client, aucun, arnaque, mois, depuis, clients, aucune, rembourser, argent, jamais, fuir, honte, mails, problème, showroom, acheté, cliente"
8,"ai, remboursement, mois, plus, commande, fois, après, service, veepee, faire, fait, depuis, qu, rien, jamais, être, autre, est, mail, compte"
9,"revenu, réceptionnés, mépris, précisant, falloir, capacité, pensent, furieuse, granjon, enrichir, battre, parlant, membre, commencent, manger, croix, suivante, ps, quinzaine, parlent"
10,"toujours, passée, 12, livré, 15, livrée, aucune, jours, dernière, retard, attendre, 2020, juillet, 20, perdu, juin, commande, entre, hui, recevoir"
11,"falloir, tenté, pensent, cinq, milieu, dix, combien, gardez, concerné, bye, valide, comprennent, bénéficie, dyson, leçon, vent, fassent, croyez, commerçants, finit"
12,"conformes, conforme, description, rapide, attentes, avance, prévu, emballée, descriptif, produit, réceptionnés, parfait, suivis, tôt, prévue, ultra, pensent, correspondant, falloir, gain"
13,"aucune, mails, réponse, malgré, depuis, aucun, toujours, attends, remboursement, fuir, veepee, répond, appels, ni, mois, rembourser, semaines, sav, clients, honte"
14,"commande, colis, jours, mail, toujours, remboursement, rien, demande, après, service, faire, réponse, être, livraison, cette, problème, jamais, client, plus, ai"
15,"cliente, arnaque, ventes, années, livraisons, retours, problèmes, site, avis, commandes, moins, sites, prix, frais, voir, surtout, souvent, attention, autres, ans"
16,"site, plus, retour, frais, est, non, vente, si, tout, euros, commandes, bien, car, faire, marque, achat, ai, articles, fois, alors"
17,"furieuse, mari, merci, adore, combien, pauvre, falloir, penser, racheter, agir, parlons, série, pensent, réaction, appui, réalisé, droits, parlent, commerçants, gardez"
18,"recu, abîmé, cassée, cassé, manquait, verre, bidons, déchiré, ouverture, manquante, carton, système, chance, cassés, contenu, jeté, ouvert, verres, appareil, rayures"
19,"taille, petit, tailles, grand, photo, petite, correspondent, 40, tissu, déçu, 42, 38, déçue, couleur, xl, grande, trop, grandes, couleurs, haut"
20,"ai, est, plus, retour, qu, vente, site, tout, donc, si, une, frais, euros, articles, privée, car, faire, après, produit, reçu"
21,"contente, merci, satisfaite, belles, plaisir, remercie, lu, superbes, tjrs, fidélité, commencent, inquiéter, détail, venant, constater, rend, jolie, buffet, imaginaire, yeux"
22,"éventré, manquante, oublier, refus, enlever, écrasé, verre, lessive, contenu, volé, casser, cassées, comptent, complète, connecter, éclaté, marche, fermoir, mains, mobile"
23,"petit, taillent, matière, couleur, taille, petite, tailles, grand, tissu, photo, grande, 36, commandées, tissus, petits, pensais, déçue, correspond, maillot, mauvaises"
24,"ouvert, livreur, poste, point, domicile, état, emballage, arrivé, carton, relais, aller, boîte, récupérer, lettres, dû, chercher, choisi, heureusement, abîmé, colis"
25,"revenu, falloir, pensent, figure, derniere, droits, conforme, trésorerie, parfait, suivante, gain, arrivant, pleurer, littéralement, ancien, foutage, plaque, commandent, titre, dénoncer"
26,"delai, delais, retardée, respecter, ras, duré, pr, respecté, chef, intégralité, 1mois, ment, commencent, long, derniere, jms, manquerai, honteuse, banquette, bda"
27,"commande, colis, livraison, être, chez, avoir, après, mois, commandes, fois, vente, rien, jours, qu, est, fait, il, ai, plus, service"
28,"ai, qu, remboursement, commande, plus, est, service, colis, client, chez, vente, après, donc, jours, être, faire, retour, fait, rien, avoir"
29,"qualité, rapport, belle, bonne, irl, très, beaux, recommande, collection, bel, beau, intéressant, jolies, jolis, choix, agréables, bonnes, attractif, compétitifs, achetés"
