Topic,Count,Name,Representation,Representative_Docs
1,148,1_livraison peu_peu_peu long_long,"['livraison peu', 'peu', 'peu long', 'long', 'longue', 'livraison peu long', 'livraison', 'peu longue', 'livraison peu longue', 'délai', 'délai livraison peu', 'délai livraison', 'trop', 'trop longue', 'délais livraison']","['le délai de livraison est un peu long', 'délai de livraison un peu long', 'délai de livraison un peu long .']"
2,103,2_rien dire_rien_dire_rien redire,"['rien dire', 'rien', 'dire', 'rien redire', 'redire', 'parfait rien', 'parfait', 'rien dire rien', 'dire rien', 'parfait rien dire', 'bien rien', 'satisfaite rien', 'dire parfait', 'très bien rien', 'merci rien']","['parfait rien a dire ...', 'parfait , rien a dire : )', 'parfait , rien à dire']"
3,84,3_rapide_livraison rapide_conforme_livraison,"['rapide', 'livraison rapide', 'conforme', 'livraison', 'très bien rapide', 'bien rapide', 'conformes livraison rapide', 'produit conforme', 'livraison rapide produit', 'conformes livraison', 'rapide produit', 'conforme très', 'rapide produit conforme', 'conforme livraison', 'produit']","['livraison rapide et produit conforme', 'livraison rapide produit conforme', 'livraison rapide et produit conforme']"
4,64,4_attentes_conforme attentes_conforme_attentes commande,"['attentes', 'conforme attentes', 'conforme', 'attentes commande', 'attentes conforme', 'produit conforme attentes', 'produit conforme', 'commande conforme attentes', 'correspond', 'correspondant attentes', 'conforme attente', 'conforme attentes commande', 'attentes commande conforme', 'commande conforme', 'attentes produit']","['conforme a mes attentes', 'conforme à mes attentes', 'conforme à mes attentes']"
5,53,5_rien_rien dire_dire_rien redire,"['rien', 'rien dire', 'dire', 'rien redire', 'redire', 'rien dire rien', 'dire rien', 'signaler', 'bien rien', 'rien signaler', 'parfait rien', 'bien rien dire', 'très bien rien', 'particulier', 'rien redire rien']","['très bien rien à dire', ""rien n ' a dire"", 'je rien à dire']"
6,51,6_rapide_livraison rapide_produit_livraison,"['rapide', 'livraison rapide', 'produit', 'livraison', 'bonne qualité', 'rapide produit', 'qualité', 'conforme', 'livraison rapide livraison', 'bonne', 'rapide livraison', 'parfait livraison rapide', 'produit conforme', 'rapide livraison rapide', 'envoi rapide']","['produit de bonne qualité . livraison rapide .', 'parfait , livraison rapide et produit conforme .', 'livraison rapide et produit conforme .']"
7,45,7_trop long_long_trop_livraison trop,"['trop long', 'long', 'trop', 'livraison trop', 'livraison trop long', 'long délais livraison', 'long délais', 'trop long délais', 'livraison beaucoup trop', 'livraison beaucoup', 'livraison', 'beaucoup trop long', 'délai livraison', 'délais livraison', 'beaucoup trop']","['le délai de livraison est trop long', 'délai de livraison trop long', 'délai de livraison trop long']"
8,39,8_photo_correspondent_photos_correspond,"['photo', 'correspondent', 'photos', 'correspond', 'couleurs', 'tout photo', 'correspond photo', 'descriptifs', 'photo site', 'articles', 'articles correspondent', 'description', 'article correspond photo', 'photos vente', 'site couleurs']","['article ne correspond pas à la photo ... déçue ..', 'ne corresponds pas à la photo sur le site couleurs plus fades', 'les couleurs choisies ne correspondent pas aux couleurs apparaissant sur la photo !']"
9,38,9_déçue qualité_qualité_déçu qualité_déçue,"['déçue qualité', 'qualité', 'déçu qualité', 'déçue', 'déçu', 'qualité déçue', 'qualité produits', 'peu déçu', 'qualité qualité', 'déçue qualité produits', 'très déçue qualité', 'déçu qualité déçue', 'déçue qualité déçue', 'déçu qualité très', 'qualité produits déçue']","['je suis déçue de la qualité', 'déçue par la qualité des vêtements', 'déçue par la qualité du sac']"
10,38,10_tout parfait_tout_merci_tout parfait merci,"['tout parfait', 'tout', 'merci', 'tout parfait merci', 'parfait', 'parfait merci', 'merci tout', 'tout ok', 'tout top', 'ok', 'tout parfait tout', 'tout top merci', 'comme', 'continuer comme', 'parfait tout parfait']","['tout était parfait , merci', 'tout a été parfait ! merci', 'tout est parfait .merci']"
11,34,11_attentes_conforme attentes_correspond attentes_attentes livraison rapide,"['attentes', 'conforme attentes', 'correspond attentes', 'attentes livraison rapide', 'attentes correspond', 'attentes livraison', 'répond attentes', 'correspond', 'conforme', 'attentes correspond attentes', 'attentes très', 'attentes très bien', 'attentes article', 'livraison rapide', 'correspondant attentes']","['correspond à mes attentes .', 'correspond à mes attentes .', 'conforme à mes attentes .']"
12,34,12_attentes_attentes livraison_conforme attentes_conforme,"['attentes', 'attentes livraison', 'conforme attentes', 'conforme', 'conformes attentes', 'conformes', 'attentes livraison rapide', 'conforme attentes livraison', 'produits conformes attentes', 'produit conforme attentes', 'livraison rapide', 'rapide', 'attentes article', 'produit conforme', 'produits conformes']","['produits conformes à mes attentes livraison rapide parfait , merci', 'produits conformes à mes attentes . livraison rapide .', 'produit conforme à mes attentes et livraison rapide !']"
13,33,13_satisfaite commande_commande merci_très satisfaite commande_satisfaite,"['satisfaite commande', 'commande merci', 'très satisfaite commande', 'satisfaite', 'très satisfaite', 'satisfaite commande très', 'très', 'satisfaite commande merci', 'contente', 'merci', 'commande', 'très bien très', 'commande très', 'commande merci encore', 'bien très']","['je suis très satisfaite de ma commande !', 'je suis très satisfaite de ma commande . merci', 'je suis très satisfaite par ma commande . merci']"
14,30,14_comme habitude_habitude_bien ensemble_ensemble,"['comme habitude', 'habitude', 'bien ensemble', 'ensemble', 'bien ensemble très', 'ensemble très', 'très bien ensemble', 'comme', 'bien', 'très bien', 'ensemble parfait comme', 'habitude très bien', 'habitude super', 'habitude top', 'habitude top comme']","['très bien dans l ’ ensemble', ""très bien dans l'ensemble"", 'très bien dans l ’ ensemble']"
15,30,15_beaux_très beaux_top_meilleur site,"['beaux', 'très beaux', 'top', 'meilleur site', 'merci produits', 'rapide', 'parfaits', 'parfait très', 'produits', 'site sérieux', 'jolis', 'bon site', 'meilleur', 'tissus', 'très']","['les produits sentent très bons et son arrivés rapidement', 'envoi rapide pour ces jolis tennis bensimon . parfait .', 'très beaux tissus top les coupes']"
16,28,16_date prévue_date_avant date_avant date prévue,"['date prévue', 'date', 'avant date', 'avant date prévue', 'prévue', 'avant', 'arrivé avant date', 'arrivé avant', 'arrivée avant date', 'arrivée avant', 'arrivé', 'arrivée', 'super arrivé avant', 'article arrivé avant', 'contente arrivé']","['article arrivé avant la date prévue très contente', 'parfait arrivé avant la date prévue', 'super , arrivé avant la date prévue']"
17,26,17_satisfaite_commande satisfaite_satisfaite commande_commande satisfaite commande,"['satisfaite', 'commande satisfaite', 'satisfaite commande', 'commande satisfaite commande', 'satisfaite commande satisfaite', 'commande', 'commande satisfait commande', 'satisfaite commande satisfait', 'commande satisfait', 'satisfait commande', 'entièrement satisfaite', 'entièrement', 'ravi commande 2ème', 'réception commande ravi', 'satisfaite commande yres']","['satisfaite de ma commande', 'satisfaite de la commande', 'satisfaite de ma commande']"
18,25,18_délai_délai livraison_long_livraison,"['délai', 'délai livraison', 'long', 'livraison', 'livraison long', 'longue', 'livraison respecté délai', 'respecté délai livraison', 'respecté délai', 'trop longue', 'délais livraison long', 'trop', 'livraison trop', 'long commande', 'trop long']","['délai de livraison sans cesse repousser mauvaise fois évidente', 'délai de livraison long', 'délai livraison trop long']"
19,25,19_conforme_conforme commande_description conforme_descriptif conforme commande,"['conforme', 'conforme commande', 'description conforme', 'descriptif conforme commande', 'descriptif conforme', 'conforme commande conforme', 'descriptif', 'conforme photos', 'description', 'conformes descriptif conforme', 'produits conformes descriptif', 'conforme commande produits', 'conforme description conforme', 'photo conforme', 'commande conforme']","['conforme a la commande', 'conforme à la commande', 'conforme à la commande']"
20,24,20_satisfaite_commande très_commande très satisfaite_très satisfaite,"['satisfaite', 'commande très', 'commande très satisfaite', 'très satisfaite', 'satisfaite commande', 'satisfaite achat', 'très satisfaite commande', 'satisfaite commande très', 'satisfait commande', 'satisfaite commande tres', 'satisfaite achat satisfaite', 'très', 'commande tres satisfaite', 'très satisfait commande', 'achat']","['très satisfaite de ma commande .', 'très satisfaite de ma commande .', 'très satisfaite de ma commande .']"
21,24,21_rapport qualité_rapport qualité prix_qualité prix_rapport,"['rapport qualité', 'rapport qualité prix', 'qualité prix', 'rapport', 'bon rapport qualité', 'bon rapport', 'prix', 'qualité', 'qualité prix livraison', 'bon', 'très bon rapport', 'prix livraison', 'rapide', 'très bon', 'super rapport']","['expédition rapide . très bon rapport qualité prix', 'très bon rapport qualité prix et livraison au top', 'livraison rapide et un très bon rapport qualité prix']"
22,24,22_plus rapide_livraison plus rapide_livraison plus_plus rapide prévue,"['plus rapide', 'livraison plus rapide', 'livraison plus', 'plus rapide prévue', 'rapide prévue', 'prévu', 'prévue', 'rapide', 'plus', 'plus tôt', 'plus rapide prévu', 'rapide prévu', 'tôt', 'prévue colis arrivé', 'plus tôt prévu']","['très bien et livraison plus rapide que prévue', 'parfait et livraison plus rapide que prévue', 'livraison plus rapide que prévue']"
23,24,23_date_avant date_prévue_date prévue,"['date', 'avant date', 'prévue', 'date prévue', 'avant date prévue', 'avant', 'prévue produit conforme', 'date prévue produit', 'prévue produit', 'produit conforme commande', 'conforme', 'produit conforme', 'conforme commande', 'livraison plus longue', 'livraison plus']","['livraison avant la date prévue , parfait .', 'livraison à la date prévue produit conforme à la description', 'reçu avant la date prévue . produit conforme à la commande']"
24,22,24_description_conforme_conforme description_conforme photos,"['description', 'conforme', 'conforme description', 'conforme photos', 'photos', 'satisfaite conforme', 'très satisfaite conforme', 'correspond', 'photos très', 'correspond description', 'description très', 'article conforme description', 'conforme photo', 'article conforme', 'descriptif']","['article conforme à la description . satisfaite', 'très bien - article conforme à la description super', 'commande conforme à la description ,']"
25,22,25_livraison très satisfaite_satisfaite_livraison très_très satisfaite,"['livraison très satisfaite', 'satisfaite', 'livraison très', 'très satisfaite', 'produit livraison', 'rapidité', 'rapidité livraison', 'rapidité livraison très', 'livraison satisfaite', 'très contente produit', 'satisfaite commande', 'très satisfaite commande', 'contente produit', 'très contente', 'très']","['très satisfaite du produit et de la livraison', 'très satisfaite de ma commande et de la rapidité de livraison .', 'très satisfaite de ma commande et de la livraison']"
26,22,26_description_conforme_conforme description_photo,"['description', 'conforme', 'conforme description', 'photo', 'identique photo', 'identique photo produit', 'photo produit conforme', 'conforme description articles', 'description articles conformes', 'identique', 'photo produit', 'conforme description produits', 'article conforme', 'description produits', 'non conforme description']","['produit conforme à la description', 'article conforme à la description', 'article conforme à la description']"
27,22,27_bien passé_passé tout_tout bien passé_bien passé tout,"['bien passé', 'passé tout', 'tout bien passé', 'bien passé tout', 'tout bien', 'passé', 'passé tout bien', 'tout', 'bien', 'ras tout', 'ras tout bien', 'très bien passé', 'tout très bien', 'tout très', 'ras']","['tout s ’ est bien passé', ""tout s'est bien passé"", ""tout c'est bien passé""]"
28,21,28_qualités_très mauvaises_très mauvaises qualités_bonne qualité,"['qualités', 'très mauvaises', 'très mauvaises qualités', 'bonne qualité', 'bonne', 'mauvaises', 'mauvaises qualités', 'très', 'qualité', 'très bonne qualités', 'très bonne', 'bonne qualités', 'qualité articles', 'bonne qualité très', 'beaux']","['les robes sont de très mauvaises qualités ! honteux !', 'vêtements de très mauvaises qualités ... dommage', 'les chaussures sont de très mauvaises qualités']"
29,20,29_bon état_état_très bon état_bon,"['bon état', 'état', 'très bon état', 'bon', 'très bon', 'colis très bon', 'arrivé', 'parfait état', 'colis', 'temps', 'état livré temps', 'colis très', 'état livré', 'bon état temps', 'temps bon état']","['rien de redire colis en très bon état bien emballé , temps de livraison respecté .', 'délai de livraison , comme prévu , et colis en très bon état . satisfait', 'livraison rapide , colis en très bon état .']"
30,20,30_rien dire_dire_rien_livraison rien,"['rien dire', 'dire', 'rien', 'livraison rien', 'livraison rien dire', 'rien redire', 'redire', 'produit livraison top', 'dire contente commande', 'rien dire contente', 'plus tres', 'dire contente', 'rien dire produit', 'redire produit', 'dire produit']","['rien a dire tout est parfait pour cette commande qui a ete en plus tres rapide', 'parfait rien à dire contente de ma commande et super délai de livraison', 'rien à dire produit et livraison au top']"
31,20,31_comme habitude_habitude_bien aimé_bien comme habitude,"['comme habitude', 'habitude', 'bien aimé', 'bien comme habitude', 'comme habitude merci', 'aimé', 'habitude merci', 'comme', 'parfait comme habitude', 'très bien comme', 'bien comme', 'aime', 'parfait comme', 'aime bien', 'bien']","[""très bien , comme d'habitude"", ""parfait comme d'habitude merci"", ""parfait comme d'habitude merci""]"
32,18,32_très satisfaite_satisfaite_très satisfaite produits_satisfaite produit,"['très satisfaite', 'satisfaite', 'très satisfaite produits', 'satisfaite produit', 'satisfaite produits très', 'produits très satisfaite', 'satisfaite produit très', 'satisfaite produits', 'produits très', 'produit très', 'très satisfaite produit', 'très', 'très satisfait produits', 'contente', 'très contente']","['très satisfaite des produits', 'très satisfaite des produits', 'très satisfaite de mes produits']"
33,18,33_temps_livraison temps_arrivée temps_temps livraison temps,"['temps', 'livraison temps', 'arrivée temps', 'temps livraison temps', 'livraison temps commande', 'temps livraison', 'temps commande', 'temps colis', 'commande arrivée temps', 'arrivé temps', 'livré temps', 'arrivée', 'délai livraison parfaite', 'conformes commande arrivée', 'délais arrivée']","['livraison dans les temps !', 'livraison dans les temps', 'livraison dans les temps']"
34,18,34_rapport qualité_rapport qualité prix_qualité prix_rapport,"['rapport qualité', 'rapport qualité prix', 'qualité prix', 'rapport', 'bon rapport qualité', 'bon rapport', 'prix', 'très bon rapport', 'qualité', 'prix très bon', 'bon', 'qualité prix très', 'très bon', 'prix bon rapport', 'qualité prix bon']","['très bon rapport qualité prix .', 'bon rapport qualité prix', 'bon rapport qualité prix']"
35,18,35_satisfaite achat_achat très satisfaite_achat très_achat,"['satisfaite achat', 'achat très satisfaite', 'achat très', 'achat', 'très satisfaite achat', 'satisfaite achat très', 'très satisfaite', 'satisfaite', 'ravie achat', 'achat ravie achat', 'achat satisfaite achat', 'ravie achat très', 'achat ravie', 'contente achat', 'achat satisfaite']","['très satisfaite de mon achat', 'très satisfaite de mon achat', 'très satisfaite de mon achat']"
36,17,36_conforme_conforme description_description_conforme description livraison,"['conforme', 'conforme description', 'description', 'conforme description livraison', 'produit conforme description', 'description livraison', 'rapidement conforme commande', 'produit conforme', 'livraison rapide', 'rapidement conforme', 'conforme photo', 'rapide', 'article conforme', 'conforme commande', 'description livraison rapide']","['produit conforme à sa description . livraison réalisée en délai .', 'livraison rapide . produit conforme à la description .', 'excellent produit conforme à la description . livraison super rapide .']"
37,15,37_peu_taillent_bottines_taille,"['peu', 'taillent', 'bottines', 'taille', 'pointure', 'elles', 'très belles', 'jolis', 'belles', '38', 'petit', '38 pourrait dire', '38 pointure agréable', '38 pointure', 'temps bien taille']","['les sandales sont très belles mais elles taillent petit prendre au moins une pointure de plus', 'j ’ ai commandé des bottines , elle taille un peu grand mais une paire de semelles et ça va mieux ! bonne qualité .', 'jolie mules , taille grand pour un 38 on pourrait dire 38,5 en pointure . agréable à porter ..']"
38,15,38_longue_peu_livraison peu_longue temps livraison,"['longue', 'peu', 'livraison peu', 'longue temps livraison', 'longue temps', 'livraison peu longue', 'peu longue', 'beaucoup trop', 'peu petit', 'long livraison', 'temps livraison', 'livraison', 'trop', 'carton beaucoup', 'carton beaucoup trop']","['livraison un peu longue', 'la livraison était un peu longue', 'la livraison est un peu longue']"
39,15,39_délai déjà_commande incomplète_retardée_livraison,"['délai déjà', 'commande incomplète', 'retardée', 'livraison', 'bluetooth fonctionne', 'base problème récupérer', 'après livraison livraison', 'attendre remboursement enquête', 'casser attente', 'colis mal conditionné', 'colis livraison non', 'change commande incomplète', 'bureau poste domicile', 'change commande', 'base problème']","['délai non respecté et commande incomplète avec info après livraison ...', 'livraison retarde et pourtant un délai déjà long à la base', 'commande incomplète . colis mal conditionné . contrainte d attendre le remboursement et enquête']"
40,15,40_jolie_joli_très jolie_très joli,"['jolie', 'joli', 'très jolie', 'très joli', 'beau', 'très', 'beaux', 'aucun problème articles', 'bandoulière jolie', 'beaux belle forme', 'belle forme joli', 'beau petit', 'appréciable très joli', 'article joli cadeau', 'articles parfaits cadeau']","['robe enfant très jolie originale', 'très jolie pierre de beau bijoux', 'très joli bijou jolie finition']"
41,15,41_taille correspond_correspond_correspond taille_taille,"['taille correspond', 'correspond', 'correspond taille', 'taille', 'pointure correspond taille', 'pointure correspond', 'pointure', 'arrive déchirées', 'absolument arrive', 'absolument arrive déchirées', 'adulte déçue', 'correctement sangle cuir', 'commande corresponde pointure', 'commande corresponde', 'cela taille correspond']","['taille ne correspond pas', 'taille qui ne correspond pas sur 2 vêtements ,', 'description articles pas assez détaillée . pantalon matière velours or non précisé ...']"
42,14,42_plus tôt prévu_tôt prévu_plus tôt_tôt,"['plus tôt prévu', 'tôt prévu', 'plus tôt', 'tôt', 'prévu', 'arrivée plus', 'prévu très', 'tôt prévu très', 'arrivée plus tôt', 'commande arrivée plus', 'arrivée', 'plus', 'reçu plus tôt', 'prévu très bien', 'bonne surprise']","['très beau produit et livraison arrivée plus tôt que prévu .', 'reçu bien plus tôt que prévu . très contente du produit', 'très bien , en plus arrivée plus tôt que prévu .']"
43,14,43_trop_trop petit_petit_2xl vaut,"['trop', 'trop petit', 'petit', '2xl vaut', 'avant grosses', '2xl vaut prix', 'arrivés juste avant', 'avant grosses chaleurs', 'chaleurs articles', 'chaleurs articles beaucoup', 'chemisier couleur', 'chemisier couleur texture', 'couleur texture etc', 'couleur texture', 'bien ventilo']","['déçue par le chemisier : couleur , texture etc ...', 'malheureusement je le retourne car trop petit', 'super bien , mes ventilo sont arrivés juste avant les grosses chaleurs .']"
44,14,44_entre commande_entre commande livraison_commande livraison_entre,"['entre commande', 'entre commande livraison', 'commande livraison', 'entre', 'long entre', 'long', 'délai entre commande', 'long entre commande', 'délai entre', 'commande réception', 'longue entre commande', 'délai', 'peu long entre', 'longue entre', 'délai trop long']","['trop de délai entre la commande et la livraison', 'délai entre la commande et la livraison long', 'délai trop long entre la commande et la livraison de la marchandise']"
45,14,45_conforme commande_conforme_commande produit conforme_commande produit,"['conforme commande', 'conforme', 'commande produit conforme', 'commande produit', 'conforme commande produit', 'livraison conforme commande', 'produit conforme commande', 'livraison conforme', 'parfait conforme commande', 'produit conforme', 'commande livraison conforme', 'conforme commande livraison', 'parfait conforme', 'commande', 'commande articles']","['produit conforme à la commande', 'produit conforme a la commande', 'pas conforme a la commande']"
46,14,46_merci_satisfaite_satisfaite merci_très satisfaite,"['merci', 'satisfaite', 'satisfaite merci', 'très satisfaite', 'merci très', 'merci très satisfaite', 'très satisfaite merci', 'très contente merci', 'contente merci', 'merci beaucoup', 'très', 'satisfaite très', 'très contente', 'contente', 'encore merci très']","['je suis très satisfaite merci beaucoup', 'merci je suis très satisfaite', 'je suis très satisfaite.merci']"
47,13,47_moyenne_décevant_qualité_article décevant très,"['moyenne', 'décevant', 'qualité', 'article décevant très', 'arrivée incomplete', 'arrivée incomplete manque', 'autrement ras toujours', 'camp retour', 'camp retour effectué', 'autrement ras', 'aucune qualité', 'attente colis introuvable', 'aucune notice français', 'car retour payant', 'commander satisfaite car']","['toujours pas reçu le tapis commandé . réclamation en attente , colis introuvable ! ! !', 'j ai passé une commande day camp retour effectué et pas remboursé inacceptable ! ! !', 'produits provenant de chine , contrefaçon aucune qualité.première et dernière commande ! ! ! !']"
48,13,48_recommande_très satisfaite recommande_satisfaite recommande_tres,"['recommande', 'très satisfaite recommande', 'satisfaite recommande', 'tres', 'satisfaite', 'très satisfaite', 'génial tellement vais', 'merci mango', 'produit recommande tres', 'assez satisfaisante', 'bien recommande trèsz', 'recommande expérience assez', 'ok recommande très', 'assez satisfaisante recommande', 'recommande expérience']","['expérience assez satisfaisante je recommande', 'très satisfaite je recommande', 'bon produit très satisfaite recommande']"
49,13,49_livraison délais_délais_conforme_conforme livraison délais,"['livraison délais', 'délais', 'conforme', 'conforme livraison délais', 'annoncés', 'livraison délais annoncés', 'livraison délais prévus', 'produits conformes', 'délais prévus', 'délais annoncés', 'conforme description', 'prévus', 'conforme livraison', 'conformes', 'description']","['produits conformes et livraison dans les délais annoncés .', 'articles conforme , livraison dans les délais prévus .', 'colis conforme , livraison dans les délais prévus .']"
50,13,50_photo_comme photo_comme_bien dommage rendu,"['photo', 'comme photo', 'comme', 'bien dommage rendu', 'bonnet trop', 'bien comme photos', 'beaucoup plus gros', 'conseils taille', 'conseils taille magnifique', 'comme photos parfait', 'comme photo trop', 'comme photo toujours', 'comme photo correspond', 'comme photo comme', 'beau photo tout']","['pas du tout comme sur la photo', 'bonnet trop grand pas comme sur la photo', 'la montre pas comme la photo .']"
51,13,51_achat_satisfaite achat_achat très_achat très contente,"['achat', 'satisfaite achat', 'achat très', 'achat très contente', 'contente achat', 'satisfaite achat très', 'satisfaite', 'très contente achat', 'contente', 'satisfaite achat rien', 'entièrement satisfait achat', 'déçue commande regrette', 'commande regrette cet', 'contente achat vraiment', 'achat merci satisfaite']","['je suis satisfaite de mon achat', 'je suis satisfaite de mon achat', 'je suis satisfaite de mon achat']"
52,12,52_super belle_magnifique_très joli_beau recommande,"['super belle', 'magnifique', 'très joli', 'beau recommande', 'belle très beau', 'beau recommande magnifique', 'belle sexy bravo', 'belle sexy', 'veste jaune super', 'veste jaune', 'très joli rouge', 'bijou très joli', 'joli petit', 'jaune super belle', 'bravo soutien gorge']","['le bijou est très joli .', 'la veste jaune était super belle', 'lingerie super belle et sexy']"
53,12,53_achats_contente achats_satisfaite achats_très contente achats,"['achats', 'contente achats', 'satisfaite achats', 'très contente achats', 'achats très contente', 'contente', 'achats très', 'très contente', 'satisfaite', 'achats ravi achats', 'achats ravi', 'achats contente achats', 'achats contente', 'achats tres', 'achats super contente']","['très contente des mes achats', 'très contente de mes achats', 'très contente de mes achats']"
54,11,54_service client_client_client contact service_client contact,"['service client', 'client', 'client contact service', 'client contact', 'service client contact', 'service', 'client service', 'besoin', 'joindre service client', 'contact service client', 'joindre service', 'contact service', 'contacter service client', 'contacter service', 'client affaire']","['pas eu besoin de contacter le service client', ""service j 'ai jamais contacter le service client"", 'pas besoin de joindre le service client car aucun problème']"
55,11,55_tous points_points_tout point_tous,"['tous points', 'points', 'tout point', 'tous', 'bien tous points', 'conforme tous points', 'points conforme', 'tous points conforme', 'conforme tous', 'bien tous', 'tout', 'excellent', 'excellent tout point', 'point très bien', 'fait correcte']","['commande conforme en tous points', 'très bien en tous points', 'conforme en tous points']"
56,11,56_jolis articles bien_jolis_jolis articles_bien taillés,"['jolis articles bien', 'jolis', 'jolis articles', 'bien taillés', 'articles bien', 'taillés', 'satisfaite achats', 'air', 'belles', 'belles matières bonne', 'bien taillés articles', 'bien coupés originaux', 'beaux pulls doux', 'bonne coupe satisfaite', 'bien taillés prix']","[""articles conforme à la photo peu utilisées mais on l'air de bonne qualité"", 'jolis articles , bien coupés et originaux .', 'jolis articles , bien taillés à prix raisonnables . merci']"
57,11,57_service_service clients_après aimable tout_après aimable,"['service', 'service clients', 'après aimable tout', 'après aimable', 'aimable tout service', 'clients showroom délai', 'client effectuer', 'car tout parfait', 'bugs très bon', 'bugs très', 'bonne couleur service', 'clients bonne couleur', 'clients bonne', 'effectuer retour juste', 'injoignable produit non']","['super site et de très bonne vente et un suivi de commande parfait continuer', 'très bon produit livraison superbe mais très mauvais service clients de showroom', 'service client moins réactif retours longs sans suivi bugs']"
58,11,58_conforme_marchandise conforme_description_conforme commande,"['conforme', 'marchandise conforme', 'description', 'conforme commande', 'description articles conforme', 'conforme commande marchandise', 'conforme description marchandise', 'commande torchons', 'correspondent exactement voulais', 'conformes description commandes', 'conforme photos parfait', 'commande torchons conformes', 'conforme commande torchons', 'commandes correspondent commandé', 'commandé produits adéquation']","['les articles correspondent exactement à ce que je voulais .', ""parfait l'article ressemble aux photos ."", 'marchandise conforme à la description .']"
59,10,59_qualité déjà_blanc lin_agréable déçu car_bien grand modèle,"['qualité déjà', 'blanc lin', 'agréable déçu car', 'bien grand modèle', 'beau produit déçu', 'bien semble fragile', 'blanc lin trop', 'bien relais envoie', 'déjà portés déçue', 'boutons bien grand', 'déjà portés', 'car haut', 'car haut sans', 'body retourné trop', 'boutons bien']","['modèle soutien , un peu déçu , pas trop sexy', 'très bien , mais un relais s ’ envoie très long . très beau produit .', 'service très agréable , mais je suis déçu car le haut sans boutons .']"
60,10,60_cadeau merci_merci_cadeau_commande merci,"['cadeau merci', 'merci', 'cadeau', 'commande merci', 'ras cette', 'ras cette commande', 'showroomprive cadeau bien', 'beaucoup cadeau merci', 'cette commande merci', 'cadeau merci showroomprive', 'bien première commande', 'cadeau bien première', 'cette transaction ras', 'encore merci échantillons', 'jolie cadeau merci']","['merci beaucoup pour ce cadeau', 'merci à showroomprive pour ce cadeau', 'merci pour ce jolie cadeau']"
61,10,61_article manquant commande_manquant commande_article manquant_articles commande manque,"['article manquant commande', 'manquant commande', 'article manquant', 'articles commande manque', 'article commande colis', 'annulé donc insatisfaite', 'annulé donc', 'colis colis reçu', 'colis reçu cassé', 'commande déçu déçu', 'commande colis annulé', 'colis annulé donc', 'car manquait article', 'terminée article', 'article colis colis']","['déçu car il manquait un article dans ma commande', 'article manquant dans ma commande . déçu', 'un article manquant dans la commande ( encore une fois ) .']"
62,394,62_prix_produits_plus_qualité,"['prix', 'produits', 'plus', 'qualité', 'très', 'marque', 'arnaque', 'articles', 'sans', 'vente', 'site', 'frais', 'livraison', 'taille', 'trop']",
63,59,63_reçu_longue_reçu colis non_rien,"['reçu', 'longue', 'reçu colis non', 'rien', 'très', 'livraison', 'commande', 'bon produit', 'reçu colis', 'produit', 'non', 'colis', 'colis non', 'plus jamais', 'bon']",
64,421,64_très_qualité_produits_peu,"['très', 'qualité', 'produits', 'peu', 'prix', 'livraison', 'déçue', 'plus', 'articles', 'bien', 'commandé', 'site', 'commande', 'satisfaite', 'tout']",
65,110,65_cassé_manque_reçu_commande,"['cassé', 'manque', 'reçu', 'commande', 'rien reçu', 'rien', 'manque article', 'cassé boite', 'article', 'satisfaite services', 'satisfaite', 'déçu', 'malgre', 'boite', 'showrooprive']",
66,666,66_commande_reçu_colis_toujours,"['commande', 'reçu', 'colis', 'toujours', 'service', 'client', 'depuis', 'plus', 'remboursement', 'livraison', 'service client', 'retour', 'après', 'jamais', 'site']",
67,153,67_très_satisfaite_rapide_très satisfaite,"['très', 'satisfaite', 'rapide', 'très satisfaite', 'qualité', 'contente', 'recommande', 'livraison rapide', 'livraison', 'très contente', 'satisfaite achat', 'bonne qualité', 'merci', 'bonne', 'achat']",
68,98,68_emballage_carton_article_peu,"['emballage', 'carton', 'article', 'peu', 'arrivé', 'abîmé', 'carton emballage', 'heureusement', 'couleur', 'état', 'mauvais état', 'colis', 'mal fermé', 'ouvert', 'produit']",
69,1023,69_plus_vente_site_service,"['plus', 'vente', 'site', 'service', 'commande', 'client', 'mois', 'remboursement', 'après', 'sans', 'depuis', 'faire', 'service client', 'colis', 'frais']",
70,155,70_rapide_livraison rapide_livraison_conforme,"['rapide', 'livraison rapide', 'livraison', 'conforme', 'top', 'produit', 'super', 'livraison très', 'très rapide', 'rapide produit', 'très', 'livraison très rapide', 'conforme livraison', 'parfait', 'top livraison']",
71,429,71_taille_très_déçue_reçu,"['taille', 'très', 'déçue', 'reçu', 'commandé', 'trop', 'petit', 'bien', 'dommage', 'article', 'commande', 'adore', 'articles', 'peu', 'tout']",
