Topic,Count,Name,Representation,Representative_Docs
1,117,1_ete_tres_meme_apres,"['ete', 'tres', 'meme', 'apres', 'probleme', 'recu', 'malgre', 'reponse', 'etait', 'problemes', 'etre', 'debut', 'depuis debut', 'achete', 'telephone']","['commande de bottes en taille 35 et reçue du 33renvoi de suite preuve de reception et conseiller au telephone m annonce remboursement sous 14 jours ouvres or je n ai pas a patir de leur mauvais service de gestion des commandes en attendant j ai un trou de 90€ et ils font barrage , pour avoir un responsable qui agisse en tant que tel.fidele depuis 2006 avec de nombreuses commandes a mon actifs c.etait ma derniere commande .', 'depuis le debut tres heureuse de vente privee jamais de problemes de qualite ni de retard de livraison mais la depuis debut d annee pleins de retard et surtout la sur une vente winter camp 4 articles commandes le 23 janvier pour l instant j ai recu 1 articles et pour les 3 autres ils repoussent la date de livraison toutes les semaines la nous sommes le 20 mars', ""je viens d'acheter un climatiseur mobile que j'ai recu sans la telecommande et que je voulais retourner en annulant ma commande le meme jour de la receptioncolis volumineux qui necessite l '' intervention du sav , apres 3 coups de telephone et 3 semaines toujours pas de reponse confirmant ma demande ou en d'envoi de bon de retoursav ineficace qui nous oblige pour des petites sommes 400 euros a declen her des pro edures judiciaires et encombrer les tribunaux qui ont d'autres chats a fouetereviter les ommandes sur ce siteles commer es de proximite sont beaucoup plus fiables""]"
2,116,2_satisfaite_très satisfaite_satisfaite commande_ravie,"['satisfaite', 'très satisfaite', 'satisfaite commande', 'ravie', 'satisfaite très', 'déçue', 'déçue très', 'très', 'très satisfaite très', 'satisfaite commande très', 'très déçue très', 'commande très', 'satisfaite tout', 'satisfaite merci', 'satisfaite tout satisfaite']","['je suis très satisfaite !', 'je suis très satisfaite !', 'j en suis très satisfaite']"
3,108,3_livraison peu_peu long_livraison peu long_long,"['livraison peu', 'peu long', 'livraison peu long', 'long', 'peu', 'peu longue', 'long délai', 'délai livraison peu', 'livraison peu longue', 'délai livraison', 'long délai livraison', 'longue', 'peu long livraison', 'long livraison peu', 'délai']","['délai livraison un peu long .', 'délai de livraison un peu long', 'délai livraison un peu long .']"
4,107,4_conforme_description_attentes_conformes,"['conforme', 'description', 'attentes', 'conformes', 'conforme description', 'produits conformes', 'conforme photo', 'correspond attentes', 'article conforme', 'conformes description', 'correspond', 'conforme commande', 'photo', 'non conforme', 'conforme attentes']","['conforme à la description', 'conforme à la description', 'conforme à la description']"
5,90,5_cliente_années_cliente depuis_depuis,"['cliente', 'années', 'cliente depuis', 'depuis', 'années cliente', 'depuis années', 'nombreuses années', 'depuis nombreuses années', 'depuis nombreuses', 'ans cliente', 'plusieurs années', 'ans', 'années cliente depuis', 'fidèle', 'depuis plusieurs']","['je suis cliente depuis des années .', 'je suis cliente depuis des années ....', 'cliente depuis des années']"
6,89,6_achat très_satisfaite achat_contente achat_très satisfaite achat,"['achat très', 'satisfaite achat', 'contente achat', 'très satisfaite achat', 'achat', 'achat très satisfaite', 'très contente achat', 'satisfaite', 'contente', 'contente achat très', 'très satisfaite', 'satisfaite achat très', 'très contente', 'achat satisfaite', 'achat très contente']","['très satisfaite de mon achat !', 'je suis très satisfaite de mon achat', 'très satisfaite de mon achat']"
7,88,7_recommande_recommande tout_site recommande_recommande absolument,"['recommande', 'recommande tout', 'site recommande', 'recommande absolument', 'tout recommande', 'tout site', 'recommande tout site', 'site recommande tout', 'absolument', 'recommande plus', 'recommande absolument recommande', 'absolument recommande', 'recommande site', 'recommande tout recommande', 'recommande vraiment']","['je ne recommande pas ! !', 'je ne recommande pas ...', 'je ne recommande pas !']"
8,87,8_importe quoi_quoi_reprendra_importe,"['importe quoi', 'quoi', 'reprendra', 'importe', 'arnaque', 'grand importe quoi', 'grand importe', 'vie grand importe', 'vie grand', 'rien comprendre', 'quoi arnaque', 'prendra plus', 'honte', 'reprendra plus', 'inadmissible']","['du grand n ’ importe quoi !', 'un grand n importe quoi !', 'du grand n ’ importe quoi… .']"
9,86,9_commanderai_commanderai plus_site commanderai plus_site commanderai,"['commanderai', 'commanderai plus', 'site commanderai plus', 'site commanderai', 'plus site', 'plus jamais', 'commanderai plus site', 'site commanderais plus', 'site commanderais', 'plus site commanderai', 'commanderais plus', 'commanderais', 'plus', 'jamais commanderai', 'commanderai plus jamais']","['je ne commanderai plus !', 'je ne commanderai plus !', 'je ne commanderai plus ....']"
10,76,10_satisfaite_satisfaite merci_très satisfaite_très contente,"['satisfaite', 'satisfaite merci', 'très satisfaite', 'très contente', 'contente', 'très satisfaite merci', 'satisfaite très', 'merci', 'merci beaucoup', 'recommande', 'satisfaite très satisfaite', 'déçu très', 'tres', 'satisfait super', 'ravie']","['je suis très satisfaite', 'je suis très satisfaite', 'je suis très satisfaite merci']"
11,75,11_satisfaite_satisfaite produits_jours avance_avance,"['satisfaite', 'satisfaite produits', 'jours avance', 'avance', 'conforme', 'livraison', 'rapide', 'bien passé', 'parfaitement', 'très', 'très satisfaite', 'prévu', 'très bien', 'description', 'produits']","[""je suis très satisfaite de mes produits qui sont arrivés en plus deux jours à l'avance et bien conditionnés !"", ""première commande sur vente privée pour une plancha , tout s'est très bien passé , facilité de la commande , délai de livraison respecté ."", ""je suis très satisfaite des produits de ma commande , la livraison à même eu deux jours d'avance et le conditionnement est très correcte comme toujours .""]"
12,74,12_déçue qualité_qualité_déçu qualité_déçue,"['déçue qualité', 'qualité', 'déçu qualité', 'déçue', 'très déçue qualité', 'désirer', 'qualité qualité', 'laisse désirer', 'qualité produit', 'déçu', 'déçu qualité articles', 'qualité produits', 'décevante', 'gamme', 'déçue qualité produit']","['je suis déçue de la qualité des vêtements .', 'déçue par la qualité de la chemise', 'déçue par la qualité du sac']"
13,72,13_date prévue_date_avant date_prévue,"['date prévue', 'date', 'avant date', 'prévue', 'avant date prévue', 'avant', 'arrivé avant date', 'arrivé avant', 'arrivée', 'commande arrivée', 'arrivée avant date', 'arrivé', 'arrivée avant', 'après date prévue', 'après date']","['arrivée avant la date prévue très satisfaite', 'colis reçu avant la date prévue', 'super , arrivé avant la date prévue']"
14,72,14_livraison prévue_prévue_prévue entre_entre,"['livraison prévue', 'prévue', 'prévue entre', 'entre', 'décembre', '12', 'prévue plus tard', 'prévue plus', 'juin', 'livraison prévue plus', 'livraison prévue entre', 'décembre commande', 'avril', '11', 'avril commande']","['la livraison est prévue entre le 12 et le 18 avril .', 'commande passée tout début décembre car livraison prévue entre le 6 et le 12 décembre .', 'livraison prévue au plus tard le 28 décembre .']"
15,71,15_rapide_livraison rapide_conforme_rapide produit,"['rapide', 'livraison rapide', 'conforme', 'rapide produit', 'rapide produit conforme', 'conforme livraison', 'très bien rapide', 'livraison rapide produit', 'bien rapide', 'rapide livraison rapide', 'produit conforme', 'rapide livraison', 'conforme livraison rapide', 'livraison produit', 'produit livraison']","['livraison rapide produit conforme', 'livraison rapide et produit conforme', 'livraison rapide et produit conforme']"
16,60,16_commande très_satisfaite commande_commande très satisfaite_satisfaite,"['commande très', 'satisfaite commande', 'commande très satisfaite', 'satisfaite', 'très satisfaite commande', 'très satisfaite', 'satisfaite commande très', 'commande satisfaite', 'tres satisfaite', 'tres', 'commande', 'cette commande', 'satisfaite cette commande', 'commande tres', 'satisfaite cette']","['très satisfaite de ma commande', 'très satisfaite de ma commande', 'très satisfaite de ma commande']"
17,57,17_satisfaite commande_commande très_commande très satisfaite_satisfaite,"['satisfaite commande', 'commande très', 'commande très satisfaite', 'satisfaite', 'très satisfaite', 'satisfaite commande très', 'très satisfaite commande', 'commande satisfaite', 'commande satisfaite commande', 'achat très', 'très satisfaite achat', 'satisfaite commande satisfaite', 'achat très satisfaite', 'satisfaite commande ravie', 'satisfaite achat']","['très satisfaite de ma commande .', 'très satisfaite de la commande .', 'très satisfaite de ma commande .']"
18,56,18_correspondent_articles correspondent_tailles_correspond,"['correspondent', 'articles correspondent', 'tailles', 'correspond', 'couleurs', 'produits correspondent', 'photo', 'photos', 'articles reçus', 'ceux', 'tailles correspondent', 'correspondent bien', 'reçus', 'articles', 'description']","['. les tailles et descriptifs correspondent bien aux articles reçus', 'les articles correspondent bien à la description sur le site', 'les tailles de chaussures ne correspondent pas !']"
19,53,19_délai livraison respecté_respecté_livraison respecté_délai livraison,"['délai livraison respecté', 'respecté', 'livraison respecté', 'délai livraison', 'respecté délai livraison', 'respecté délai', 'délai', 'respecté livraison', 'respectée', 'livraison', 'livraison respecté délais', 'livraison non respectée', 'respecté délais', 'livraison respecté délai', 'livraison respecté livraison']","[', le délai de livraison respecté .', 'délai de livraison respecté .', 'délai de livraison respecté .']"
20,53,20_attentes_conforme attentes_conformes attentes_attentes conforme attentes,"['attentes', 'conforme attentes', 'conformes attentes', 'attentes conforme attentes', 'attentes produit', 'attentes produits', 'attentes conforme', 'correspond attentes', 'conforme', 'attentes produits conformes', 'conformes', 'attentes articles', 'produits conformes attentes', 'articles conformes attentes', 'attentes correspond']","['conforme a mes attentes .', 'conforme à mes attentes .', 'conforme à mes attentes .']"
21,52,21_longs_délais_délais livraison_longs délais,"['longs', 'délais', 'délais livraison', 'longs délais', 'longs délais livraison', 'très longs', 'trop longs', 'peu longs', 'longues délais', 'long', 'longs dommage', 'toujours peu longs', 'long délais', 'livraison toujours peu', 'délais livraison très']","['délais de livraison toujours un peu longs ...', 'délais de livraison toujours un peu longs .', 'les délais de livraison très longs .']"
